gate_mode,family,transform,severity,acc,auc,ap,ece,mean_gate,mean_severity
zero,clean,clean,0.0,0.5475,0.686525,0.6849823292797185,0.21349755130708215,0.9868245658278465,0.0
zero,jpeg,jpeg_q90,0.25,0.5725,0.723725,0.7214423376790882,0.18115564890205862,0.9868095383048058,0.25
zero,jpeg,jpeg_q70,0.5,0.5625,0.6947499999999999,0.7011601541692782,0.18157832149416211,0.9866480122506619,0.5
zero,jpeg,jpeg_q50,0.75,0.565,0.6899000000000001,0.6895946108122406,0.1662369791418314,0.9868408079445362,0.75
zero,jpeg,jpeg_q30,1.0,0.6,0.739625,0.7448289261953039,0.11000200126320123,0.9855023787915707,1.0
zero,blur,blur_s0.5,0.35,0.55,0.70285,0.7039423559328466,0.20718925125896936,0.9863276064395905,0.35
zero,blur,blur_s1.0,0.7,0.535,0.6929,0.6998068396933114,0.2285581698268652,0.9861692626774311,0.7
zero,blur,blur_s2.0,1.0,0.51,0.6842250000000001,0.697453969004747,0.271231149956584,0.9882056917250156,1.0
zero,resize,resize_x0.5,0.55,0.5225,0.6431749999999999,0.6542185176075885,0.2537827392667532,0.9868043005466461,0.5499999999999998
zero,resize,resize_x0.25,1.0,0.515,0.7014,0.7145432040151747,0.2631793893128634,0.9872757643461227,1.0
zero,noise,noise_s0.02,0.3,0.6025,0.8161,0.824661638261698,0.14761199951171877,0.9853342996537685,0.29999999999999993
zero,noise,noise_s0.05,0.65,0.6,0.7634000000000001,0.7813427406178557,0.13603677675127987,0.9850897373259068,0.6500000000000001
zero,noise,noise_s0.1,1.0,0.61,0.78525,0.803757474090988,0.11515214771032335,0.9851832568645478,1.0
zero,color_jitter,color_jitter,0.25,0.545,0.6809,0.6889904016281816,0.21426563046872615,0.9866419497132302,0.25
zero,center_crop,center_crop,0.2,0.5375,0.7070000000000001,0.7092170407827201,0.22104137822985648,0.9861005777120591,0.2
zero,screenshot,screenshot_92_90,0.45,0.5525,0.705525,0.7040031181356189,0.20144208170473574,0.9858005158603191,0.4500000000000001
zero,screenshot,screenshot_85_75,0.7,0.535,0.684275,0.6961980356368072,0.2125065104663372,0.985501818805933,0.7
zero,screenshot,screenshot_75_60,0.9,0.5925,0.752275,0.7648181137570429,0.14710578169673677,0.9853082321584224,0.9000000000000002
one,clean,clean,0.0,0.5925,0.6620999999999999,0.633606984296883,0.11477445668308064,0.9868245658278465,0.0
one,jpeg,jpeg_q90,0.25,0.61,0.682,0.6523530452311643,0.13424301117425783,0.9868095383048058,0.25
one,jpeg,jpeg_q70,0.5,0.62,0.6589,0.6282556829974284,0.10952144838403911,0.9866480122506619,0.5
one,jpeg,jpeg_q50,0.75,0.5925,0.6664750000000002,0.6284078072513373,0.13017909904476258,0.9868408079445362,0.75
